Supplier_ID,Supplier_Name,Country_ID,Category,Payment_Terms,Lead_Time_Days,Performance_Score,Risk_Score,Annual_Contract_Value
1367,"Vaughn, Dixon and Perez",10,Professional Services,Immediate,12,91.64,8,1963110
1368,Johnson Ltd,10,IT Services,Net 60,7,71.31,2,2631177
1369,Anthony PLC,2,Facilities,Advance,35,80.19,1,2760966
1370,"Campbell, Harris and Smith",10,Packaging,Net 60,15,78.37,10,1327743
1371,Davidson Ltd,2,Facilities,Net 45,10,80.38,3,1751004
1372,Zamora-David,8,Packaging,Immediate,28,73.4,7,1122432
1373,"Martin, Brown and Kelly",6,Professional Services,Advance,40,76.02,6,2840391
1374,Moss and Sons,6,Marketing,Advance,36,84.17,1,968647
1375,Taylor-Weaver,9,IT Services,Net 30,39,84.75,5,60044
1376,Wilson Group,10,Facilities,Advance,5,74.85,9,960411
1377,Lopez-Hunter,2,Packaging,Net 45,25,76.49,6,1073462
1378,Johnson PLC,7,IT Services,Net 60,33,73.0,5,2537321
1379,Santos Inc,5,Electronics,Net 45,30,90.41,8,1782204
1380,"Patterson, King and Carroll",9,Manufacturing,Advance,5,90.6,8,2972631
1381,Chandler Inc,1,Packaging,Immediate,37,90.14,3,1095700
1382,"Porter, Rios and Garcia",8,Facilities,Net 30,22,80.88,2,2225319
1383,"Frazier, Smith and Hess",3,Marketing,Net 60,18,77.73,10,551962
1384,Williams-Douglas,4,Electronics,Net 60,22,84.42,7,2703442
1385,"Golden, Green and Medina",1,IT Services,Net 60,36,99.65,3,1403738
1386,Warner-Rush,1,Marketing,Net 60,9,82.01,7,1846826
1387,Moon-Cuevas,5,Packaging,Net 60,21,93.76,4,2031514
1388,Taylor-Johnson,6,Raw Materials,Net 30,28,96.9,8,1351011
1389,Chen LLC,10,Professional Services,Net 30,26,71.04,3,1817627
1390,"Mcdowell, Baker and Kelley",8,IT Services,Net 60,23,70.5,7,209444
1391,Ford-Stevens,8,IT Services,Immediate,11,71.72,8,2886078
1392,"Hill, Harrington and Lane",4,Facilities,Net 60,12,82.8,6,1609272
1393,Kim-Long,6,Office Supplies,Net 30,36,93.03,4,1224852
1394,Thomas Group,3,Office Supplies,Advance,20,73.0,5,1525449
1395,"Campbell, Thomas and Graves",4,Manufacturing,Net 60,35,95.81,8,370774
1396,Martin-Abbott,7,Logistics,Advance,14,91.9,3,314976
1397,Coleman-Jones,5,Office Supplies,Net 30,35,75.7,5,690060
1398,Smith Ltd,1,Electronics,Net 45,36,88.7,7,1077739
1399,Thomas Group,5,Facilities,Net 30,38,73.06,10,244476
1400,Savage-Green,8,Manufacturing,Net 60,18,88.26,9,2649873
1401,Clark-West,2,Raw Materials,Net 45,40,76.84,3,1281094
1402,"Watkins, Townsend and Hall",5,Manufacturing,Net 45,32,89.82,6,339737
1403,"Carter, Lamb and Torres",5,IT Services,Net 45,28,95.95,7,2714308
1404,"Wilson, Neal and Krause",2,Office Supplies,Net 45,27,97.59,6,1826464
1405,"Cohen, Thomas and Johnson",8,Manufacturing,Advance,12,71.59,2,122588
1406,Robinson LLC,4,Manufacturing,Advance,14,92.33,6,723537
1407,Jones Ltd,9,Manufacturing,Immediate,34,77.02,2,1757615
1408,Lewis-Butler,7,Packaging,Immediate,8,79.48,3,1813035
1409,Smith Group,1,Marketing,Immediate,34,78.88,4,345669
1410,"Hawkins, Adams and Salas",7,Manufacturing,Net 45,23,99.76,6,2900402
1411,"Torres, Smith and Schultz",7,Logistics,Immediate,22,72.08,7,2898042
1412,Dickson-Morgan,7,Manufacturing,Advance,45,83.0,9,1330967
1413,Yoder-Williams,4,Marketing,Net 30,36,81.85,5,2170009
1414,Watson-Evans,8,Electronics,Advance,30,86.81,9,2218542
1415,Wolfe-Hill,5,Office Supplies,Net 45,41,93.1,6,2543600
1416,"Oneal, Miller and Cruz",10,Logistics,Advance,43,83.23,2,1539925
1417,Cook LLC,6,Raw Materials,Advance,14,77.16,4,2070298
1418,Payne Group,9,Logistics,Advance,24,80.93,10,780580
1419,Hernandez-Daniels,10,IT Services,Immediate,7,73.43,9,1282893
1420,Gibbs-Cook,7,Professional Services,Immediate,16,73.14,8,204399
1421,"Graves, Roberts and Mclean",4,Electronics,Net 30,6,75.55,6,1365127
1422,Griffith Group,1,Marketing,Net 30,29,93.77,5,1050326
1423,Shaw-Zamora,7,Packaging,Net 60,31,98.32,9,2485318
1424,"Cox, Jones and Young",7,Manufacturing,Net 60,32,90.35,5,2844968
1425,Orozco LLC,5,Professional Services,Immediate,10,84.49,3,296148
1426,Jones-Hunter,3,Logistics,Net 45,10,89.45,7,718515
1427,Perez Inc,8,Marketing,Net 30,26,86.13,8,2351371
1428,Adams-Kent,1,Facilities,Net 30,42,84.94,5,403233
1429,Larson-Whitehead,6,Office Supplies,Net 45,35,90.48,8,50822
1430,Rogers Inc,10,Professional Services,Net 60,35,82.72,4,2566370
1431,Franklin-Shepard,7,Electronics,Net 30,45,89.47,2,1231407
1432,Walsh-Long,2,Professional Services,Advance,32,94.4,9,1256539
1433,Green and Sons,1,Raw Materials,Net 45,36,87.37,8,1369410
1434,Mason LLC,7,Raw Materials,Advance,42,72.23,10,734662
1435,Stevenson-Mcguire,5,Raw Materials,Net 45,14,88.57,3,1908488
1436,Jones Ltd,5,Facilities,Net 45,8,76.94,4,2539245
1437,Caldwell LLC,5,Logistics,Net 30,27,72.49,9,1175262
1438,Smith PLC,4,Electronics,Advance,20,73.34,2,1653706
1439,Smith-Smith,9,Electronics,Net 45,11,94.04,8,2817704
1440,Kelley-Kelly,6,Marketing,Immediate,45,89.73,9,2982046
1441,Hernandez-Todd,5,Packaging,Immediate,37,89.24,2,1927142
1442,Wood Group,7,Marketing,Advance,12,94.47,6,2125277
1443,"Hendricks, Estrada and Wagner",10,Packaging,Immediate,40,76.82,9,2374504
1444,Dickerson Inc,9,Electronics,Advance,36,88.37,9,1637939
1445,Wright-Shields,4,Manufacturing,Net 60,22,82.34,5,468569
1446,David Group,5,Electronics,Advance,21,78.17,1,2762038
1447,Holmes Group,2,Raw Materials,Net 30,32,86.94,2,2788027
1448,Rivers-Floyd,9,Professional Services,Advance,18,91.59,5,705398
1449,Villanueva-Johnson,7,Facilities,Net 45,32,99.43,1,451106
1450,Joseph-Gray,3,Office Supplies,Net 60,38,70.88,6,2220352
1451,Wilson-Long,2,Logistics,Net 60,13,85.87,5,452084
1452,Edwards-Green,3,Packaging,Net 45,11,99.25,1,1240144
1453,"Simon, Cook and Huynh",4,Logistics,Advance,45,90.75,10,1958200
1454,Chaney-Robinson,8,Packaging,Advance,10,70.12,7,82434
1455,"Bailey, Johnson and Anderson",2,Professional Services,Advance,25,81.0,5,701361
1456,"Parker, Haney and Swanson",2,Marketing,Immediate,31,71.38,2,55956
1457,Adams-Pope,4,IT Services,Net 60,21,85.91,5,2128978
1458,Martinez and Sons,10,Packaging,Net 60,28,86.43,1,1414252
1459,"Williams, Gilbert and Taylor",1,Marketing,Net 30,10,76.04,9,1896244
1460,Gonzalez PLC,5,Packaging,Advance,44,71.1,8,1943673
1461,"Johnson, Myers and Weaver",1,Raw Materials,Net 30,17,86.07,2,2957033
1462,Carter Group,7,Raw Materials,Net 30,5,91.17,10,763451
1463,Mccarthy-Chandler,3,IT Services,Net 60,29,73.9,3,2645109
1464,Lee PLC,2,IT Services,Net 45,23,91.4,5,1381030
1465,Rodriguez Inc,1,Marketing,Net 45,27,73.97,6,2319892
1466,"Fletcher, Wright and Morgan",10,Facilities,Net 60,35,89.45,4,1276435
1467,"Velasquez, Martinez and Ho",3,Raw Materials,Net 45,31,94.38,10,1383219
1468,Melendez-Smith,5,Office Supplies,Advance,12,78.57,2,1916394
1469,Garcia-Rose,1,Office Supplies,Net 45,40,81.99,1,1075306
1470,Harris PLC,9,Logistics,Net 60,31,97.88,6,1796593
1471,Martin-Bennett,9,Raw Materials,Net 60,13,82.26,8,1657357
1472,"Wilson, Martin and Schneider",8,Electronics,Advance,24,77.1,3,759500
1473,"Copeland, Black and Cole",8,Marketing,Advance,27,79.81,5,2400351
1474,Stephens Ltd,1,Professional Services,Net 45,34,85.41,1,1382756
1475,Butler-Sherman,6,IT Services,Net 30,19,99.65,3,1979531
1476,Ellis Ltd,4,Logistics,Net 30,21,74.12,3,879323
1477,Odonnell-Rivera,10,Manufacturing,Net 60,23,71.14,5,900555
1478,"Castillo, Ferguson and Vargas",7,Raw Materials,Net 60,24,74.2,10,115667
1479,Jones-Mcconnell,1,Electronics,Net 30,41,92.28,3,1056102
1480,"Johns, Mckay and Oneal",9,Professional Services,Advance,36,91.74,10,2824910
1481,Humphrey PLC,5,Professional Services,Immediate,10,87.76,9,670324
1482,Mack-Johnson,5,Office Supplies,Advance,28,89.09,10,1488967
1483,Martin Ltd,10,Manufacturing,Net 45,34,93.74,7,2821938
1484,Roberts LLC,10,IT Services,Net 30,8,98.27,5,1183775
1485,Lee LLC,5,Professional Services,Advance,22,82.96,2,649545
1486,Allen-Clark,5,Raw Materials,Immediate,32,80.15,6,2292488
1487,"Chen, Fisher and Jones",7,Office Supplies,Advance,14,72.92,3,1983970
1488,"Henry, Hall and Willis",3,Professional Services,Net 45,41,98.15,10,1419777
1489,Herrera-Gonzalez,6,Packaging,Net 30,10,80.99,1,1215277
1490,Glover Ltd,7,Marketing,Net 30,31,85.94,2,1006754
1491,Wilkins Inc,5,Logistics,Immediate,21,76.64,10,2272163
1492,Webb-Wallace,4,Professional Services,Net 45,25,84.21,10,1734069
1493,"Garcia, Bradley and Flores",1,Office Supplies,Net 60,41,95.85,3,846944
1494,"Salinas, Wiggins and Fuller",6,Packaging,Immediate,23,98.22,7,2963063
1495,Andrade and Sons,8,Professional Services,Advance,22,74.66,8,1924986
1496,Nelson Ltd,8,Professional Services,Net 30,45,95.02,8,454878
1497,Moore Group,5,Facilities,Net 30,40,78.21,5,2161135
1498,Morrison-Owens,1,Packaging,Immediate,35,90.69,3,1568531
1499,"Holder, Rasmussen and Horton",1,Professional Services,Advance,16,79.31,7,2130173
1500,Quinn-Lopez,9,Office Supplies,Net 60,19,87.3,10,568165
1501,"Griffin, Shepherd and Wright",3,Electronics,Net 45,6,75.04,5,1684383
1502,Monroe-Farley,5,Office Supplies,Net 60,44,95.65,9,2128832
1503,"Lam, Cruz and Blevins",4,Professional Services,Net 60,9,90.85,4,1997439
1504,"Brown, Simmons and Walker",10,Facilities,Net 45,45,73.33,7,2452374
1505,Gibson-Mckinney,3,Logistics,Net 60,7,99.64,5,2897645
1506,"Davis, Young and Miles",4,Manufacturing,Net 30,44,82.29,2,1795452
1507,"Franco, Snyder and Singh",8,Office Supplies,Advance,18,75.19,9,2799182
1508,Davis Ltd,5,Logistics,Net 30,19,78.1,7,2890770
1509,Lewis-Golden,7,Manufacturing,Net 60,43,79.91,7,2595472
1510,Petty Inc,9,Office Supplies,Net 30,37,79.46,9,2007117
1511,Cunningham Inc,4,Electronics,Net 60,9,91.44,2,1938706
1512,"Oneill, Ramirez and Lewis",10,Packaging,Advance,30,92.62,6,2858081
1513,Stephenson-Pierce,8,Logistics,Advance,20,96.9,10,1535075
1514,Obrien Group,1,Manufacturing,Net 60,42,92.73,6,2035835
1515,Wilkins-Mcgee,3,Raw Materials,Net 60,22,91.86,7,2771897
1516,"Black, Peterson and Ross",10,Raw Materials,Net 30,20,90.63,10,1236437
1517,Jones Group,5,Marketing,Net 60,13,99.33,8,1703305
1518,"Turner, Allen and Stephens",5,Facilities,Net 60,38,82.27,6,2224445
1519,"Perez, Colon and West",3,Marketing,Advance,33,91.58,5,1164522
1520,"Oneill, Wade and Martin",3,Raw Materials,Advance,7,88.68,6,1658669
1521,Thomas LLC,6,Raw Materials,Net 30,26,75.56,4,2049052
1522,Miller-Wagner,6,Manufacturing,Advance,41,80.83,10,607022
1523,Smith-Ewing,5,Electronics,Net 30,45,96.97,5,248457
1524,Brown-Thompson,3,Professional Services,Net 30,13,80.79,6,1751712
1525,Hayes-Lamb,4,Facilities,Net 30,13,92.88,4,2093322
1526,Robbins LLC,10,Manufacturing,Net 60,28,70.91,5,754849
1527,Manning and Sons,5,Raw Materials,Immediate,16,90.43,3,2170060
1528,Lane PLC,9,Electronics,Advance,40,77.18,2,1216896
1529,Horne LLC,6,Facilities,Net 60,16,82.33,6,2483089
1530,"Quinn, Mann and Ortega",1,Professional Services,Net 30,9,82.17,5,1409980
1531,"Rodriguez, Hunt and Ferguson",1,Manufacturing,Net 60,11,92.7,4,644532
1532,Ramos-Johnson,2,Marketing,Net 45,25,98.24,9,1948607
1533,"Smith, Andrews and Kelly",6,Marketing,Net 30,10,78.68,8,369156
1534,Ramirez PLC,2,Professional Services,Net 30,45,76.54,3,2459370
1535,"Cortez, Pena and Clark",10,Electronics,Advance,39,87.48,8,829011
1536,Pena Group,3,Electronics,Advance,16,94.06,9,1137156
1537,Singleton PLC,4,Professional Services,Net 60,19,73.14,3,1056266
1538,"Williams, Hood and Torres",1,Raw Materials,Net 60,27,84.02,8,92092
1539,"Torres, Rios and Shea",6,Facilities,Net 45,26,93.05,2,2521117
1540,Castaneda-Rogers,8,Professional Services,Advance,42,95.29,2,744143
1541,"Gibbs, Thomas and Jefferson",3,Raw Materials,Net 30,6,85.58,6,1620861
1542,Robinson-Brown,10,Office Supplies,Advance,9,82.06,5,902289
1543,"Jones, Lyons and Stevens",7,Electronics,Net 30,7,82.02,9,364990
1544,"Garner, Fields and Morales",8,Raw Materials,Immediate,34,70.93,10,398233
1545,Hunter-Moore,9,Professional Services,Advance,24,80.55,4,616679
1546,Hoffman LLC,4,Marketing,Net 30,34,98.61,8,1743131
1547,Thompson-Rivera,6,Office Supplies,Immediate,8,77.18,6,1645823
1548,Spears-Walton,10,Marketing,Net 30,34,81.42,8,1915739
1549,"Strong, Palmer and Wolf",3,Logistics,Net 45,14,70.47,9,2406140
1550,Cunningham-Bond,9,Packaging,Immediate,41,92.73,5,1304736
1551,"Miller, Fritz and Brown",6,Manufacturing,Net 60,35,76.43,3,2748050
1552,Olson-Hendrix,8,Logistics,Net 30,18,82.77,8,2361507
1553,Hicks-Robertson,5,Logistics,Net 45,31,79.53,4,2457084
1554,"Villegas, Brown and Thomas",10,Packaging,Net 60,44,84.91,1,220724
1555,James Ltd,2,Electronics,Immediate,24,87.73,9,741168
1556,Williams PLC,8,Facilities,Net 30,8,92.42,8,2013044
1557,Casey-Williams,1,Marketing,Immediate,41,78.53,3,1845205
1558,"Tran, Williams and Chavez",4,IT Services,Net 60,43,97.01,3,641268
1559,Gallegos-Lewis,6,Logistics,Advance,13,76.8,1,196102
1560,Leonard-Guerrero,6,Packaging,Net 30,30,86.02,1,111383
1561,Norton Inc,5,Professional Services,Net 45,32,85.45,10,2015198
1562,Cole and Sons,10,IT Services,Immediate,14,85.44,3,2058815
1563,Goodwin Ltd,4,Raw Materials,Net 30,36,87.96,1,731988
1564,Nash Group,7,Professional Services,Net 30,19,99.08,1,2245037
1565,Williams PLC,5,Manufacturing,Net 60,43,92.3,2,1023208
1566,"Walker, Haney and Whitney",9,Electronics,Net 30,16,79.98,1,2305064
1567,Davidson Inc,1,Logistics,Net 30,34,77.37,1,2165794
1568,Lewis Inc,9,Professional Services,Net 60,20,91.28,2,1696365
1569,"Reynolds, Harris and Wyatt",7,Manufacturing,Advance,9,70.72,8,2766012
1570,Johnson Ltd,7,IT Services,Net 30,42,86.64,1,1760700
1571,Small-Lopez,1,Facilities,Net 60,32,84.68,2,2972416
1572,"Sanchez, Kelly and Stewart",8,Office Supplies,Net 60,28,78.91,3,768928
1573,"Long, Freeman and Howard",4,Office Supplies,Net 45,6,83.31,10,513618
1574,Proctor-Zuniga,6,Packaging,Net 30,36,99.26,6,597254
1575,Ellis LLC,10,Facilities,Net 30,19,88.95,3,707624
1576,Miller PLC,4,Office Supplies,Net 30,33,86.92,2,1933852
1577,Craig Inc,3,IT Services,Immediate,44,84.69,7,675506
1578,Jackson and Sons,10,Packaging,Immediate,27,96.23,9,138036
1579,Winters-Smith,4,Electronics,Immediate,30,94.04,10,2933758
1580,Smith Inc,5,Professional Services,Advance,43,76.22,7,916493
1581,Shea Ltd,7,Raw Materials,Net 60,23,85.08,10,2012364
1582,Lopez-Gomez,2,Raw Materials,Immediate,24,94.51,6,680830
1583,"Butler, Salazar and Carpenter",8,Raw Materials,Advance,27,77.42,4,419739
1584,"Snyder, Mcclure and Diaz",6,Raw Materials,Net 45,39,99.31,8,2968640
1585,"Wood, Oconnor and Myers",9,Marketing,Net 60,34,79.64,1,258938
1586,Mendoza PLC,1,IT Services,Immediate,9,99.27,10,241865
1587,Lopez Ltd,3,Marketing,Immediate,7,79.52,9,307829
1588,Kennedy Ltd,3,Office Supplies,Net 30,16,85.62,10,1216564
1589,Gilbert-Patel,9,Office Supplies,Net 30,6,82.74,5,351205
1590,Gentry-Hernandez,7,Professional Services,Advance,18,90.55,6,2453430
1591,Long LLC,1,Marketing,Net 30,30,73.98,6,563352
1592,Smith-Smith,7,IT Services,Advance,22,99.06,8,354720
1593,Martin Ltd,9,Electronics,Net 60,26,75.82,5,223978
1594,"Harris, Maldonado and Johnson",1,Facilities,Net 30,30,73.5,2,381833
1595,Meyer-Martinez,3,Office Supplies,Net 60,41,80.51,9,2169078
1596,Buchanan-Miller,1,Marketing,Advance,10,90.59,10,635175
1597,"Allison, Vazquez and Taylor",1,Professional Services,Net 45,19,70.15,7,2875711
1598,"Cox, Williams and Terry",5,Electronics,Immediate,16,81.66,3,1419677
1599,"Hernandez, Baker and Lucas",3,IT Services,Immediate,44,89.86,3,1971896
1600,Hunter Ltd,5,IT Services,Net 30,12,98.69,2,2912018
1601,Church-Duncan,6,Logistics,Net 45,43,90.12,4,679302
1602,Diaz-Crawford,4,Marketing,Net 60,11,74.63,3,2964123
1603,"Schmidt, Howell and Williams",5,IT Services,Net 60,13,83.04,7,638965
1604,Thompson-Herring,10,Facilities,Net 60,41,92.72,2,2925650
1605,Cardenas PLC,1,Office Supplies,Immediate,21,82.3,6,1707290
1606,Miller Ltd,2,Office Supplies,Advance,17,82.27,7,2778129
1607,Zimmerman Inc,7,Logistics,Advance,28,87.75,6,1076232
1608,Robertson-Jensen,6,Raw Materials,Net 30,17,76.11,4,333377
1609,Smith-Trujillo,6,Electronics,Advance,16,84.26,1,1698171
1610,Strickland-Smith,10,Packaging,Immediate,21,98.39,5,2317165
1611,Schwartz Inc,6,Office Supplies,Net 30,16,98.43,1,165816
1612,Wood-Murphy,5,Packaging,Immediate,45,73.97,6,436486
1613,Weaver Group,9,Marketing,Advance,35,78.48,6,918952
1614,King-Davis,3,Manufacturing,Net 30,21,90.38,7,1655619
1615,"Hayes, Shelton and Hudson",4,Facilities,Advance,20,79.16,5,2304266
1616,Barnes Inc,6,Manufacturing,Advance,30,96.0,2,344492
1617,Thornton PLC,4,Facilities,Net 60,7,71.25,4,2967429
1618,Bishop Group,7,Professional Services,Net 30,44,89.03,3,2582088
1619,Murphy-Morris,2,Packaging,Net 30,16,93.32,2,2298939
1620,"Crawford, Branch and Mullen",6,Logistics,Net 30,28,79.64,10,2461321
1621,"Johnston, Valencia and Jackson",4,Packaging,Advance,5,98.25,10,2144026
1622,White PLC,5,Packaging,Immediate,16,90.55,6,1540682
1623,"Porter, Munoz and Matthews",6,Manufacturing,Advance,9,78.17,1,1471452
1624,Deleon-Strickland,7,Facilities,Net 60,20,76.14,5,2518351
1625,Matthews-Thomas,7,Marketing,Immediate,41,81.71,6,1670135
1626,Ross PLC,2,Electronics,Net 30,11,85.93,10,838282
1627,"Potter, Little and Wilkerson",6,Packaging,Net 60,19,80.12,3,2574574
1628,"Young, Brown and Rivera",1,Facilities,Net 60,20,90.62,7,2086677
1629,Peters PLC,8,Electronics,Advance,27,87.9,1,1183937
1630,Hill Inc,8,IT Services,Net 60,13,77.19,8,761590
1631,Duncan LLC,8,Raw Materials,Immediate,25,75.69,8,865053
1632,"Stanley, Crane and Johnson",6,Packaging,Net 45,40,70.43,2,1211881
1633,Stuart-Gomez,9,Professional Services,Net 45,41,75.77,7,1401698
1634,"Martin, Cannon and Williams",7,Office Supplies,Advance,21,93.33,1,708628
1635,Mclean Ltd,4,Electronics,Advance,33,94.09,10,2468241
1636,"Gonzalez, Kim and Sexton",3,Logistics,Immediate,19,83.36,2,722162
1637,Cross-Barnett,7,Professional Services,Net 30,6,96.46,6,301500
1638,Byrd-Mitchell,5,Electronics,Net 60,36,75.15,2,2214736
1639,Everett-Conner,10,IT Services,Net 60,32,79.73,1,1001921
1640,"Miller, Burton and Jimenez",9,Raw Materials,Net 60,13,83.57,9,1935006
1641,"Kelly, Turner and Lowe",7,Electronics,Net 30,35,79.75,3,2702711
1642,"Floyd, Johnson and Burns",4,Raw Materials,Net 30,41,75.41,6,2643814
1643,Robertson Inc,3,Facilities,Net 30,31,72.78,5,2514686
1644,Blair Inc,8,Professional Services,Advance,14,92.45,10,2652446
1645,"Martin, Conley and Montgomery",10,Electronics,Net 45,38,91.61,9,660135
1646,Green Group,9,Professional Services,Net 45,45,72.76,3,2674788
1647,Peterson Ltd,6,Professional Services,Net 45,21,79.75,10,1061546
1648,"Wall, Romero and Moore",5,Raw Materials,Net 60,26,77.44,2,163574
1649,"Peterson, Hodge and Sherman",3,Packaging,Net 60,11,81.63,5,1677233
1650,"Lang, Lester and Parker",9,Professional Services,Net 30,6,98.63,4,2879217
1651,Howell LLC,3,Marketing,Net 60,17,96.45,8,2198772
1652,Gordon-Gonzalez,9,Manufacturing,Advance,22,99.88,9,2067908
1653,Roy LLC,1,Manufacturing,Advance,15,78.8,1,1501379
1654,Mcbride LLC,9,IT Services,Net 30,44,84.79,3,2558589
1655,Payne Ltd,9,Packaging,Advance,21,86.41,7,2143139
1656,Williams-James,10,Logistics,Net 45,18,90.03,10,2800010
1657,Burch Ltd,1,Professional Services,Advance,40,83.58,4,1878863
1658,Maxwell-Meyers,10,Manufacturing,Net 30,34,77.95,6,882041
1659,"Parsons, Rivera and Bonilla",5,Electronics,Net 60,10,85.7,5,1399326
1660,Smith-Williams,4,Electronics,Advance,13,87.92,10,1947741
1661,Quinn Ltd,2,Marketing,Advance,16,71.79,2,1775692
1662,Johnson Group,1,Electronics,Immediate,15,90.86,1,2856870
1663,Torres-Smith,4,Marketing,Immediate,23,85.91,2,2554721
1664,"Foster, Wilson and Anderson",6,Logistics,Advance,20,97.74,10,2110382
1665,Smith-Roberts,4,Marketing,Net 60,21,92.32,8,2280183
1666,Adams and Sons,10,IT Services,Net 60,22,84.09,9,2991332
1667,"Blevins, Dean and Williams",8,Logistics,Advance,30,91.81,4,2268918
1668,Thompson-Richardson,10,Marketing,Net 30,12,81.38,3,357696
1669,Mathis-Chavez,7,Raw Materials,Advance,26,93.93,1,256680
1670,"Larsen, Cook and Zuniga",7,Logistics,Net 30,19,71.49,8,965438
1671,Ramos-Thompson,4,Packaging,Net 30,41,94.19,4,160199
1672,Holmes-Bryant,5,Logistics,Immediate,13,90.06,9,2497369
1673,Malone-Crawford,8,Packaging,Net 45,10,72.79,6,2749226
1674,Montgomery PLC,6,Packaging,Net 45,41,82.75,8,1629098
1675,"Robinson, Larson and Cooper",7,IT Services,Net 45,26,82.99,5,702056
1676,Anderson Ltd,5,Facilities,Immediate,27,84.69,9,1398190
1677,Rice-Leach,8,IT Services,Net 60,18,82.7,1,2167300
1678,"Black, Matthews and Clark",1,Professional Services,Net 30,18,85.86,6,1733773
1679,Liu-Rogers,4,Professional Services,Net 60,18,97.77,5,2376929
1680,Ibarra-Francis,3,Electronics,Advance,16,72.93,6,2352366
1681,Cortez-Nelson,3,Electronics,Immediate,31,80.14,1,2821095
1682,Rios Ltd,3,Logistics,Advance,5,84.26,6,1734976
1683,Maxwell-Martin,4,Facilities,Net 30,34,86.31,7,919279
1684,Steele-Thompson,10,Office Supplies,Net 45,30,89.35,4,332496
1685,"Page, Adkins and Harris",6,Packaging,Advance,45,84.42,8,2569433
1686,Mcbride Inc,4,Professional Services,Net 45,5,91.17,7,2598271
1687,White-Hines,9,Marketing,Advance,10,93.15,5,1115264
1688,Cooley PLC,4,Facilities,Net 45,37,98.35,7,1234884
1689,"Cruz, Daniels and Harris",5,Manufacturing,Advance,39,85.51,4,2554953
1690,"Nelson, Owens and Evans",1,Raw Materials,Advance,12,70.1,1,2529541
1691,"Lopez, Mendez and Campbell",3,Electronics,Net 60,17,83.12,2,1026108
1692,Lang and Sons,3,Electronics,Net 45,18,73.74,8,183314
1693,"Short, Haley and Rivera",10,Professional Services,Net 60,24,90.7,5,1001074
1694,"Powers, Garcia and Gregory",2,IT Services,Net 45,33,96.93,4,1902997
1695,Brown Inc,6,Marketing,Net 60,10,70.13,1,1309858
1696,Clark-Jarvis,10,Manufacturing,Net 30,25,93.77,10,461576
1697,"Williams, Nunez and Martinez",10,Office Supplies,Net 60,11,90.55,5,1151002
1698,Richardson Group,8,Facilities,Net 60,43,74.71,10,607455
1699,Owens Inc,6,Professional Services,Immediate,23,89.39,4,314730
1700,Ali-Santos,2,Professional Services,Net 45,28,75.17,5,1579768
1701,Dyer Inc,2,Professional Services,Net 30,32,90.27,1,443565
1702,Daniels-Sandoval,3,IT Services,Advance,32,90.63,8,2003794
1703,Davis-Dixon,8,Manufacturing,Net 30,10,99.07,10,292573
1704,Chaney-Dalton,2,Marketing,Net 45,43,73.86,3,1984395
1705,"Steele, Washington and Medina",8,Logistics,Advance,31,70.34,7,2320245
1706,Davidson-Dickerson,9,IT Services,Advance,37,91.03,4,891082
1707,Welch Group,6,Professional Services,Immediate,9,84.17,9,552094
1708,"Miller, Price and Rogers",3,Professional Services,Immediate,20,98.06,6,2922900
1709,"Rodriguez, Alexander and Greene",5,IT Services,Advance,29,95.86,4,2831749
1710,Atkinson Group,3,IT Services,Net 45,17,84.34,8,1905523
1711,Cook-James,6,Packaging,Advance,22,99.76,4,450167
1712,Robinson Ltd,6,Packaging,Immediate,30,94.34,3,202789
1713,Vaughn-Molina,5,Logistics,Immediate,15,98.29,5,831932
1714,Simmons-Odonnell,4,Marketing,Net 60,44,94.39,3,2602800
1715,Jones Inc,4,Office Supplies,Net 60,18,72.43,9,775906
1716,Howard Inc,9,Facilities,Net 60,31,91.14,3,2017327
1717,"Gallegos, Young and Thornton",10,Professional Services,Immediate,12,75.87,4,381845
1718,Taylor-Tran,5,Marketing,Net 30,21,78.57,7,559134
1719,Bauer LLC,4,Logistics,Net 60,7,76.67,6,803363
1720,Horn-Henderson,2,Electronics,Net 45,32,84.66,1,832717
1721,Maldonado-Gonzalez,9,Logistics,Immediate,35,98.06,5,2244706
1722,"Green, Phillips and Roberts",1,Logistics,Net 60,10,93.9,9,312822
1723,"Thomas, Thompson and Adams",8,Logistics,Net 30,13,78.94,10,2935968
1724,"Swanson, Hartman and Ponce",5,Marketing,Immediate,9,86.17,5,926648
1725,Smith-Rodriguez,1,Office Supplies,Immediate,21,71.61,4,1255923
1726,Stephens Group,5,Marketing,Net 30,32,96.03,3,642808
1727,Roberts-Gonzales,9,Raw Materials,Net 30,15,85.47,9,620693
1728,Smith-Arnold,4,IT Services,Immediate,11,98.25,4,368053
1729,Butler and Sons,3,Manufacturing,Net 45,31,85.32,6,2260231
1730,"Smith, Lindsey and Brown",4,Logistics,Advance,10,94.24,6,2147868
1731,Knapp-Macdonald,5,Marketing,Advance,35,91.04,2,2376312
1732,Lane LLC,2,Facilities,Advance,8,96.11,8,2689958
1733,"Chapman, Cabrera and Evans",8,Packaging,Net 60,11,79.89,3,2386650
1734,Oconnor-Singleton,7,Logistics,Net 30,45,79.7,2,914041
1735,Velez-Huffman,7,Electronics,Net 30,8,78.08,1,1020153
1736,Sanders-Khan,2,Marketing,Immediate,33,70.05,4,2317113
1737,Jackson LLC,2,Raw Materials,Immediate,24,71.43,4,2173583
